timestamp,Green1 Count,Green2 Count
469,160651,134524
470,161124,138396
471,161093,139564
472,160862,139461
473,160866,139855
474,160878,138136
475,160761,135373
476,161513,132478
477,164313,130828
478,167378,130243
479,168672,132465
480,169773,142546
481,168342,155001
482,160797,161412
483,156426,161122
484,154656,160808
485,153794,159154
486,153800,152690
487,155516,143600
488,161871,137934
489,165101,136519
490,166466,136650
491,166422,137408
492,165770,142101
493,166045,150119
494,167887,158420
495,168171,158844
496,166710,154728
497,164219,152422
498,162870,146337
499,162783,140467
500,164022,137878
501,167978,135992
502,172333,135333
503,173397,136247
504,172563,144049
505,174512,160666
506,169623,168304
507,166291,167409
508,164073,165546
509,163918,158646
510,165218,148570
511,169205,142751
512,170694,139803
513,170843,138659
514,169875,137922
515,169111,142134
516,169824,150830
517,171788,163855
518,171465,174284
519,169800,174182
520,168858,170888
521,168234,167023
522,167719,163076
523,167028,157397
524,166733,152526
525,168063,148765
526,172734,145142
527,177670,142939
528,181112,142986
529,183260,155404
530,179169,169944
531,170625,176062
532,165534,175817
533,163248,176636
534,162710,174338
535,163274,165284
536,168096,155447
537,174781,152474
538,176220,149589
539,175961,146945
540,174407,146522
541,173073,149333
542,173764,156490
543,175887,162837
544,177062,168119
545,176778,169344
546,176275,169503
547,175187,166527
548,173860,160388
549,173558,156498
550,174455,151864
551,176319,148449
552,179455,146116
553,180329,148520
554,179455,163652
555,171835,177779
556,164431,180040
557,161051,177516
558,159940,177304
559,159648,175651
560,160063,167059
561,163945,157851
562,172626,153068
563,175901,152522
564,177200,155091
565,177254,153446
566,176321,150663
567,175167,153933
568,175359,159663
569,176332,164597
570,177223,167870
571,177411,167882
572,177011,167059
573,176892,167441
574,176649,166472
575,176338,165328
576,176062,164440
577,176014,165392
578,175977,167071
579,175779,166827
580,175551,164864
581,174818,160635
582,173286,155442
583,172249,154980
584,171444,151612
585,171601,145654
586,175625,144519
587,177592,148332
588,175475,147782
589,174430,152830
590,175063,161242
591,174660,164378
592,173762,164347
593,172408,166078
594,171792,168470
595,172137,168901
596,173495,167651
597,174906,161304
598,177654,152491
599,178674,149773
600,178592,144482
601,176220,143213
602,175686,147125
603,178623,159002
604,183702,177936
605,185888,195294
606,184887,206164
607,183245,203745
608,182462,189090
609,181283,167664
610,180192,156499
611,178273,146670
612,177537,144155
613,178338,145619
614,179083,144052
615,179186,141252
616,179856,144925
617,180716,154301
618,180175,162497
619,178572,164417
620,177415,162378
621,177092,160784
622,177376,156823
623,178044,153058
624,178605,151692
625,177750,148993
626,178330,154004
627,180155,161297
628,181785,167265
629,182654,177552
630,183121,185852
631,182836,187181
632,182377,184560
633,180700,174481
634,177696,166878
635,175408,159764
636,174417,151791
637,175534,145847
638,179039,146588
639,179348,146751
640,179373,148773
641,180135,153660
642,180092,158567
643,178949,161542
644,177365,164444
645,175803,166108
646,173917,162342
647,173577,157818
648,175357,157034
649,177843,156567
650,177807,152211
651,177655,153694
652,177671,158000
653,179112,166766
654,180758,175228
655,180916,178943
656,179653,179336
657,178892,176359
658,177601,167821
659,175486,159785
660,173454,149357
661,173905,144886
662,176510,145125
663,176699,146101
664,176465,147258
665,176882,150704
666,177381,155917
667,177185,159814
668,176344,161341
669,175338,162002
670,174602,161127
671,174190,157652
672,174135,153871
673,174795,151562
674,176203,151469
675,176856,150378
676,175645,149478
677,176073,153920
678,177983,161953
679,179977,167422
680,180127,169103
681,179499,169264
682,179598,169097
683,179017,166813
684,176967,162198
685,175102,155277
686,175237,149392
687,177943,148531
688,178427,148365
689,177569,148472
690,177667,150976
691,178046,154651
692,178123,157477
693,177549,160058
694,176914,162240
695,176523,162312
696,175983,159523
697,176020,157408
698,176685,156165
699,176752,152860
700,176285,149517
701,175189,148259
702,174460,149497
703,174950,153815
704,175750,158473
705,177200,163683
706,177978,166030
707,177950,165967
708,177125,163614
709,175613,158978
710,174311,153707
711,174522,149168
712,177103,148878
713,176834,148577
714,176535,150267
715,177154,153795
716,177227,156021
717,176720,157228
718,176409,157097
719,176348,157614
720,175876,155813
721,175798,153148
722,176232,152862
723,176849,152873
724,177750,153447
725,177918,152329
726,177018,151783
727,176738,153767
728,177653,159390
729,179673,168330
730,180899,173919
731,180378,174130
732,179202,169360
733,178417,165543
734,176883,160346
735,174996,153951
736,174715,149188
737,176644,146991
738,178703,147744
739,178683,148175
740,178933,151393
741,179087,155520
742,178551,158529
743,177648,158515
744,177466,157618
745,177747,155175
746,178118,153538
747,178959,154004
748,179935,155238
749,179444,153108
750,178820,154876
751,180067,160785
752,182732,171621
753,185427,182322
754,186321,185497
755,185007,181304
756,183494,172325
757,181391,162075
758,179180,155664
759,178461,150325
760,180492,149417
761,182361,149102
762,182241,149308
763,182398,151237
764,182257,152376
765,182102,153125
766,182287,155591
767,182517,156718
768,183148,156710
769,184025,156715
770,184556,156764
771,183628,154106
772,182563,153695
773,183354,158398
774,186537,171058
775,189113,182877
776,188924,184778
777,187005,180830
778,186138,172179
779,183416,161314
780,180939,153433
781,180552,148012
782,182372,146448
783,183685,147309
784,183980,147925
785,183852,148954
786,183635,151478
787,182985,153672
788,182389,156154
789,181685,157057
790,181111,154756
791,181501,152195
792,182808,153301
793,182219,151467
794,181374,151878
795,183652,157857
796,186532,164861
797,186320,167290
798,186932,170556
799,187319,171687
800,187201,170891
801,186221,167318
802,184146,161759
803,182653,155475
804,183333,152273
805,185770,151120
806,186033,152077
807,185907,152960
808,185821,152728
809,185709,152220
810,185727,152537
811,185730,152683
812,185811,153053
813,185787,153529
814,184839,148874
815,182961,143195
816,181995,144827
817,181322,145893
818,181516,146178
819,182047,146082
820,182048,150643
821,181461,153517
822,181040,154784
823,180995,155835
824,180647,156294
825,180184,156287
826,180036,155809
827,180410,154671
828,180122,154450
829,179895,152962
830,179556,150794
831,179884,149711
832,179970,149272
833,179924,151151
834,179526,152152
835,178905,152085
836,178725,152871
837,179130,153050
838,179749,153268
839,180309,153264
840,180601,151739
841,180795,149954
842,180957,148118
843,180683,146710
844,180320,148597
845,180041,151451
846,179952,153081
847,179691,154103
848,179379,154894
849,178935,156423
850,178383,157959
851,178166,159272
852,178085,160331
853,178077,160762
854,177958,161093
855,177749,161757
856,177645,162620
857,177619,163082
