timestamp ecg,
653329815609130527,51
653329815616807476,60
653329815624484425,58
653329815632161374,58
653329815639838323,63
653329815647515272,65
653329815655192221,75
653329815662869170,87
653329815670546119,94
653329815678223068,111
653329815685900017,145
653329815693576966,172
653329815701253915,187
653329815708930864,201
653329815716607813,213
653329815724284762,223
653329815731961711,228
653329815739638660,218
653329815747315609,189
653329815754992558,140
653329815762669507,77
653329815770346456,17
653329815778023405,-21
653329815785700354,-53
653329815793377303,-80
653329815801054252,-89
653329815808731201,-92
653329815816408150,-92
653329815824085099,-82
653329815831762048,-75
653329815839438997,-72
653329815847115946,-60
653329815854792895,-55
653329815862469844,-58
653329815870146793,-53
653329815877823742,-53
653329815885500691,-48
653329815893177640,-36
653329815900854589,-34
653329815908531538,-36
653329815916208487,-29
653329815923885436,-14
653329815931562385,-7
653329815939239334,-4
653329815946916283,-7
653329815954593248,-9
653329815962270197,-4
653329815969947146,-2
653329815977624095,-4
653329815985301044,-2
653329815992977993,4
653329816000654942,0
653329816008331891,0
653329816016008840,4
653329816023685789,-4
653329816031362738,-7
653329816039039687,7
653329816046716636,9
653329816054393585,2
653329816062070534,4
653329816069747483,9
653329816077424432,12
653329816085101381,14
653329816092778330,14
653329816100455279,14
653329816108132228,19
653329816115809177,17
653329816123486126,9
653329816131163075,17
653329816138840024,17
653329816146516973,4
653329816154193922,2
653329816161870871,7
653329816169547820,7
653329816177224769,7
653329816184901718,14
653329816192578667,17
653329816200255616,17
653329816207932565,17
653329816215609514,21
653329816223286463,24
653329816230963412,24
653329816238640361,29
653329816246317310,46
653329816253994259,63
653329816261671208,60
653329816269348157,48
653329816277025106,41
653329816284702055,36
653329816292379004,31
653329816300055953,29
653329816307732902,34
653329816315409851,36
653329816323086800,41
653329816330763749,41
653329816338440698,17
653329816346117647,29
653329816353794596,221
653329816361471545,592
653329816369148494,828
653329816376825443,544
653329816384502392,-34
653329816392179341,-172
653329816399856290,51
653329816407533239,51
653329816415210188,-53
653329816422887137,-7
653329816430564086,24
653329816438241035,-7
653329816445917984,4
653329816453594933,26
653329816461271882,19
653329816468948831,26
653329816476625780,41
653329816484302729,41
653329816491979678,38
653329816499656627,48
653329816507333576,51
653329816515010541,53
653329816522687490,63
653329816530364439,72
653329816538041388,77
653329816545718337,85
653329816553395286,94
653329816561072235,106
653329816568749184,121
653329816576426133,140
653329816584103082,160
653329816591780031,182
653329816599456980,199
653329816607133929,206
653329816614810878,208
653329816622487827,213
653329816630164776,208
653329816637841725,177
653329816645518674,121
653329816653195623,60
653329816660872572,0
653329816668549521,-46
653329816676226470,-70
653329816683903419,-85
653329816691580368,-97
653329816699257317,-97
653329816706934266,-89
653329816714611215,-85
653329816722288164,-80
653329816729965113,-75
653329816737642062,-70
653329816745319011,-60
653329816752995960,-48
653329816760672909,-43
653329816768349858,-41
653329816776026807,-31
653329816783703756,-24
653329816791380705,-21
653329816799057654,-17
653329816806734603,-7
653329816814411552,-2
653329816822088501,-9
653329816829765450,-9
653329816837442399,2
653329816845119348,4
653329816852796297,-2
653329816860473246,-7
653329816868150195,-4
653329816875827144,-2
653329816883504093,0
653329816891181042,4
653329816898857991,7
653329816906534940,7
653329816914211889,9
653329816921888838,9
653329816929565787,7
653329816937242736,9
653329816944919685,17
653329816952596634,21
653329816960273583,19
653329816967950532,17
653329816975627481,21
653329816983304430,26
653329816990981379,26
653329816998658328,26
653329817006335277,29
653329817014012226,29
653329817021689175,34
653329817029366124,34
653329817037043073,34
653329817044720022,34
653329817052396971,34
653329817060073920,36
653329817067750869,38
653329817075427834,41
653329817083104783,43
653329817090781732,46
653329817098458681,41
653329817106135630,31
653329817113812579,31
653329817121489528,41
653329817129166477,43
653329817136843426,36
653329817144520375,24
653329817152197324,24
653329817159874273,34
653329817167551222,41
653329817175228171,46
653329817182905120,48
653329817190582069,38
653329817198259018,26
653329817205935967,26
653329817213612916,21
653329817221289865,17
653329817228966814,21
653329817236643763,29
653329817244320712,29
653329817251997661,26
653329817259674610,12
653329817267351559,2
653329817275028508,140
653329817282705457,495
653329817290382406,828
653329817298059355,699
653329817305736304,111
653329817313413253,-194
653329817321090202,0
653329817328767151,80
653329817336444100,-41
653329817344121049,-31
653329817351797998,17
